,Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month,License Type,Installation Date,County
58,529081,,0,0.0,0.0,0.0,4,31,12.9,1401/01,کشاورزی,1399/09/07,مشهد
59,102251,,0,0.0,0.0,0.0,31,31,100.0,1401/01,کشاورزی,1401/11/10,سبزوار
60,601207,,0,0.0,0.0,0.0,31,31,100.0,1401/01,شرب و بهداشت دام,1401/02/27,تربت حیدریه
61,514357,20.72,0,0.0,66.6,5692.527,31,31,100.0,1401/01,کشاورزی,1401/01/27,مشهد
62,525966,,0,0.0,0.0,0.0,31,31,100.0,1401/01,خدمات,1400/07/25,مشهد
63,805879,,0,0.0,0.0,0.0,31,31,100.0,1401/01,شرب و بهداشت دام,1400/09/29,نیشابور
64,515437,,0,0.0,0.0,0.0,12,31,38.71,1401/01,کشاورزی,1401/03/09,مشهد
65,514377,21.31,0,0.0,212.1,17144.51,31,31,100.0,1401/01,کشاورزی,1401/01/22,مشهد
66,529027,2.0,0,0.0,321.3,214.25,10,31,32.26,1401/01,کشاورزی,1399/02/15,مشهد
67,529182,3.1,0,0.0,72.6,933.41,31,31,100.0,1401/01,صنعتی,1401/01/28,مشهد
68,604634,,0,0.0,0.0,0.0,15,31,48.39,1401/01,کشاورزی,1401/02/12,تربت حیدریه
69,530865,2.34,0,0.0,61.6,583.584,31,31,100.0,1401/01,صنعتی,1399/06/04,مشهد
70,514494,,0,0.0,0.0,0.0,21,31,67.74,1401/01,کشاورزی,1401/02/08,مشهد
71,601510,1.37,0,0.0,491.6,205.766,31,31,100.0,1401/01,صنعتی,1399/12/23,تربت حیدریه
72,517624,2.1,0,0.0,1.9,15.553,31,31,100.0,1401/01,صنعتی,1401/01/20,مشهد
73,515468,2.97,0,0.0,255.9,459.574,31,31,100.0,1401/01,صنعتی,1400/08/18,مشهد
74,805853,,0,0.0,0.0,17.851,15,31,48.39,1401/01,کشاورزی,1401/02/21,نیشابور
75,520659,,0,0.0,0.0,0.0,31,31,100.0,1401/01,شرب و بهداشت دام,1400/05/21,مشهد
76,519696,0.22,0,0.0,60.8,7.408,31,31,100.0,1401/01,صنعتی,1399/12/02,مشهد
77,603550,,0,0.0,175.9,130.916,12,31,38.71,1401/01,کشاورزی,1399/11/28,کاشمر
78,517928,13.2,0,0.0,590.5,25495.5,31,31,100.0,1401/01,,,
79,618399,,0,0.0,0.0,0.0,15,31,48.39,1401/01,صنعتی,1401/02/19,کاشمر
80,212129,1.6,0,0.0,21.3,210.057,14,31,45.16,1401/01,,,
81,212128,3.5,0,0.0,43.1,388.876,5,31,16.13,1401/01,,,
82,212131,39.9,0,0.0,457.5,3456.823,31,31,100.0,1401/01,,,
83,212126,,0,0.0,26.4,4.73,31,31,100.0,1401/01,,,
84,525915,13.47,0,0.0,628.2,2712.391,31,31,100.0,1401/01,خدمات,1400/08/17,مشهد
85,514472,19.03,0,0.0,334.4,21309.9,31,31,100.0,1401/01,کشاورزی,1401/01/17,مشهد
86,805135,,0,0.0,0.0,0.0,31,31,100.0,1401/01,شرب و بهداشت دام,1401/02/09,نیشابور
87,601051,,0,0.0,0.0,0.0,31,31,100.0,1401/01,صنعتی,1399/09/24,تربت حیدریه
88,514006,19.0,0,0.0,8.2,562.583,5,31,16.13,1401/01,کشاورزی,1401/01/31,مشهد
89,515587,8.2,0,0.0,261.2,906.087,31,31,100.0,1401/01,خدمات,1398/11/03,مشهد
90,101262,2.06,0,0.0,233.0,158.131,31,31,100.0,1401/01,شرب و بهداشت دام,1400/06/22,سبزوار
91,302045,3.87,0,0.0,302.0,19.704,31,31,100.0,1401/01,صنعتی,1400/04/29,گناباد
92,603238,1.6,0,0.0,1.7,2.203,31,31,100.0,1401/01,صنعتی,1400/08/24,تربت حیدریه
93,200718,,0,0.0,0.0,0.0,31,31,100.0,1401/01,شرب و بهداشت دام,1400/06/25,قوچان
94,604472,,0,0.0,0.0,0.0,15,31,48.39,1401/01,صنعتی,1401/02/15,تربت حیدریه
95,518228,,0,0.0,0.0,0.0,15,31,48.39,1401/01,کشاورزی,1401/07/27,مشهد
96,100515,3.4,0,0.0,8.1,250.391,31,31,100.0,1401/01,کشاورزی,1400/11/06,سبزوار
97,515318,26.49,0,0.0,694.0,33189.36,21,31,67.74,1401/01,کشاورزی,1398/11/28,مشهد
98,514565,,0,0.0,0.0,0.0,15,31,48.39,1401/01,کشاورزی,1401/02/08,مشهد
99,514990,10.12,0,0.0,180.8,6628.582,31,31,100.0,1401/01,کشاورزی,1401/01/20,مشهد
100,622140,1.8,0,0.0,731.6,4744.0,31,31,100.0,1401/01,کشاورزی,1400/12/13,تربت حیدریه
101,615327,8.12,0,0.0,259.4,7392.874,31,31,100.0,1401/01,کشاورزی,1400/10/12,تربت حیدریه
102,514684,15.2,0,0.0,49.7,3008.388,9,31,29.03,1401/01,کشاورزی,1401/01/29,مشهد
103,515012,3.65,0,0.0,30.8,12.379,31,31,100.0,1401/01,صنعتی,1399/10/02,مشهد
104,529187,,0,0.0,0.0,0.0,8,31,25.81,1401/01,کشاورزی,1399/06/15,مشهد
105,524216,1.22,0,0.0,67.1,20.044,31,31,100.0,1401/01,صنعتی,1399/10/18,مشهد
106,514588,,0,0.0,0.0,0.0,5,31,16.13,1401/01,کشاورزی,1401/02/28,مشهد
